Sample Id,Supertype,Neurotransmitter Type,Cluster,Class,Donor ID,Platform,Sex,Genotype,Subclass,Dissection Region
dc2d2908-1d29-4690-8238-5a26b5fb9d5e,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
1b01259a-3333-43c7-a0ed-3ee2c73e6af1,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
f69a32b5-aeee-47f4-83bb-d4d273a07b6d,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-365617,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
ad225ef6-5ba8-4bf3-b093-cfd59a2c6061,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366676,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
cca1b23a-d1e0-49fb-a449-a753e01f1077,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
4b0b1230-f75b-46c2-bc16-5510c9e4edb3,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366292,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
8b775887-70a2-46b0-9e9d-5186813e80db,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-365619,10Xv2,F,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
9c763bab-a24d-4116-a010-142a6556b862,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
7794bdba-241f-4570-8e5f-2eda451ee81d,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
e815b13a-dcbb-4079-b23e-06dfe93b6e0a,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366676,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
1de41caa-e61c-4ead-8a68-4fa1d2775c45,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366676,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
7e59c3e3-7f87-4971-b2a2-10ac49f52e29,0092 L5 ET CTX Glut_3,Glut,0368 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-547057,10Xv3,F,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,RSP
999b54f4-6198-479b-8102-64cd80742b0e,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366676,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
56c09850-7266-4c03-bc4b-981b460f68c4,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-557707,10Xv3,F,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
e8134603-f9da-407d-9b5b-bc97e3d4dea6,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
18bf82d8-7aa7-4f84-8f82-8eefc321df7b,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-553679,10Xv3,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS-PTLp
2c89438c-8c16-4ef7-8d91-6160f658403a,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
0c2daefb-b3eb-4c92-82b4-ab5f6fa96215,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
381ee724-77e3-46f4-878c-ed1658d1d202,0092 L5 ET CTX Glut_3,Glut,0368 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-557707,10Xv3,F,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
ba9959fc-3e4c-4cdd-af79-e5cf370c5e6f,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-365619,10Xv2,F,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
448d7571-4333-4907-a593-a8a0979b9878,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
5664ab1e-a1e2-42eb-a1a0-347483751d8f,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-557707,10Xv3,F,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
db998646-ede7-4c7d-8d7f-ee5221ff5b69,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366676,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
9814c54b-5a26-491a-b8bf-a253d53971ef,0092 L5 ET CTX Glut_3,Glut,0369 L5 ET CTX Glut_3,01 IT-ET Glut,Snap25-IRES2-Cre;Ai14-366678,10Xv2,M,Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,022 L5 ET CTX Glut,VIS
