Sample Id,Supertype,Section Label,Neurotransmitter Type,Anatomical Division,Cluster,Class,Anatomical Structure,Subclass,Anatomical Substructure
004c7e01-36d3-47ca-9845-79e293bf6676,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0369 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
efe0170c-d37b-498e-a315-0aaa7fde452a,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
349f767f-fc12-4307-9ac7-0e3688c17e2f,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0366 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
0d93431a-9d34-48f6-b267-dcebf89f3d4a,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0367 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
1de65ae9-d794-42bb-9c62-69dace409b35,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
e165b994-969f-4619-a347-d8954a4d101e,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0363 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
beda4b09-cad5-4d6e-8591-befc94a91b58,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
f2e2c10a-5545-4d3b-9568-8014e443f19a,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
dbafc03b-5e17-42ec-8682-79a2722f6d05,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0373 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
d5c442eb-f4d6-4d43-b63b-458d3e548fd8,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0379 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
812c6801-22ba-4a2c-9e79-491a85b37c05,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
eaf8a6aa-2ccd-474b-ac40-5bcbc705e2eb,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
147ac3d0-b2f2-4e1c-bd00-e1b740b242bc,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0364 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
1e53d19e-d3dd-4e8e-9484-2b7dcb3f54e6,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0353 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
19d00c36-61c8-4d6f-9a33-7f20d4d3da4d,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0363 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
e743b745-8614-44b7-8b6c-09a359d48210,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
ecd3fb92-4d75-49eb-93f7-40a2a7765bc0,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
40d2cae9-20c9-40ef-bf9d-78bbd18f789c,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
18f0a932-f35c-4af8-bdbb-eb4a01579c07,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0379 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
086f5afa-a989-4fd4-afb7-35a65bb1475e,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0379 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
01a4987b-a6ad-4b99-9e3c-31b780e4b23f,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0366 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
065f258c-912b-485b-9abc-802ff5391fc7,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
e5292fd4-470a-4df7-9cd7-f836513cdc82,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
090450da-d0df-44d9-83f4-952ab0deb9f7,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0367 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
1039222f-19b5-4446-8602-43d18f3fe79f,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0354 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
543ff95a-c3fa-4ddd-b3c2-86faf47333e5,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0365 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
e4874d7b-6754-40ff-8792-c0b7627f2bce,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
484abbf0-56d4-4622-add2-24920cd3cd05,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0360 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
097686b8-9133-4f27-b1f9-9963aeb2f3b4,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0381 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
510247d2-38d2-497d-9979-9d3f4f8fed44,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0368 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
f166e111-dbfa-42a8-9ec5-f95a95038981,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0368 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
17342919-1dd4-4da0-aa91-ba503fd6a626,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0371 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
1b64b809-f06e-4d09-ac3a-d8bdb2a541ab,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0368 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm4
3c728307-008c-44f3-a4c1-8e5f8bbe1a28,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0365 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
9fe71183-dfa3-41a2-93e6-910e897a33f0,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
e305825d-9478-4b13-a722-15eb0fc5d7bc,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
959f690d-b12b-4220-8492-4b9f837e19d7,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0369 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
