Sample Id,Supertype,Section Label,Neurotransmitter Type,Anatomical Division,Cluster,Class,Anatomical Structure,Subclass,Anatomical Substructure
e23109f2-b70b-48a0-b29f-f4cfd24025ac,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
d42c7e04-95f7-4134-93e8-66acc1a52aa3,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
cfc13cd0-adf7-41c4-a849-f1472ea31567,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
e98716b6-15c2-4f54-8717-589b0da6d246,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
a28ebb39-2849-49ae-80e4-ee135fce1890,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0369 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
93ecbd7c-9c47-40c2-8356-c86b1271eca7,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0381 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
04938e67-8b30-438c-a9da-a9f6a3ac7c04,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0371 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
9193c418-af59-4d5d-96cb-1dec17f287e4,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0379 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
423c3836-1ada-43a4-8fd3-ccad2df4a5f6,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0381 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
8caed271-0b15-4fdc-9eb0-8e88c6355792,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0353 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
6e73c716-11d4-408d-b1de-83adbe557251,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0365 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
8e68fce8-e78b-4a38-abff-8c05da3ee226,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0369 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
ff358335-96a4-4210-824b-b821e44e13cf,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
e3c2d482-9ac1-40c3-8d40-ab375060862f,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0367 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm4
b24460fc-0785-440d-94da-431e5b51b17e,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
c1cbacb0-b074-4884-80eb-fc3f429779a5,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0368 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
87299832-95d4-40ed-8574-5c91930ca857,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0381 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
21c31354-1979-4b93-b6f2-acaefaa22842,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0360 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
9de24754-1d98-484a-b3b7-8a13f2256812,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
d40c5e40-b1bb-45eb-886d-ebbb4339b977,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0365 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
58fa8eb3-8633-474a-837b-0f48b395b93f,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0373 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
be1d9d38-c61d-48d7-be38-2f6a6ebd4720,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0371 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
128d2f82-e0ec-4527-9a22-d2c363622e1d,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0364 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
dd9473bc-872c-4ada-b695-ae4d1299785f,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0379 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
df6d506c-9f89-491f-8dcd-e9c61c53b850,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
a5b83946-7429-4b48-a62d-775871d5ee24,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0365 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
63114e26-a1f5-4ee7-ac26-d09b29f8d0af,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0368 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
27d64abf-c153-4540-a277-5013a07c6d63,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0373 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
882beb97-cfed-4f38-bbd1-2ef4c1fb290e,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0364 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
dfd3b604-9386-46cd-b4b4-9c1790489976,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
2c3e9015-ecb2-422c-be50-d14ecf8b286d,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0360 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
2a77f349-f6fe-4a7f-a5d8-44c47421ba00,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
b9b13a0e-a653-48e3-9fc1-80adc799b888,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0371 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
2060b274-dd19-4106-86f8-925c5dc57b33,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0372 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
01b7ca4b-4129-407b-a8d6-c8aa176531eb,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0381 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
997f6592-780e-4b61-9e4e-a66f960af4df,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0381 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
a0e4fc17-904a-4fcd-bcf3-583939d7e3b2,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
0529a786-3a5a-4d09-9f92-e5cbf57886e8,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0379 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
14fce64b-665a-427b-b592-dff7512f61ce,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
6f4d7b15-0b12-40c8-9d53-67da7be77543,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0363 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
b744f897-925f-44ef-9fac-4758af1ea9b4,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
e172408e-43cc-4b1a-b860-cfffc68f9834,0093 L5 ET CTX Glut_4,C57BL6J-638850.31,Glut,Isocortex,0371 L5 ET CTX Glut_4,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
0f155b1a-0bfe-43f0-92ad-24bc3da89066,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
0cbc4772-a78f-4045-a075-1ec12b3513e0,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0365 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
9e5a6d18-b0f3-4e91-a684-16d6ce52a431,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0364 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
c16db5c3-1faf-4984-b813-743096a2e46c,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0381 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
a13d1d8c-7179-42c5-b4b4-471306f29734,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
4a8fa8b1-f806-4264-adef-baebbd4fa218,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0367 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
4d47594c-5f64-4918-ab70-7f379bc3b2e4,0095 L5 ET CTX Glut_6,C57BL6J-638850.31,Glut,Isocortex,0379 L5 ET CTX Glut_6,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
1e0e2e58-ddea-4d73-9239-06533beed9ed,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0368 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
23b28d41-af4b-48b7-9f16-cb1dbbff3713,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0354 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
1cfe8bd2-1018-405c-99f6-12689d95b114,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0363 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
65c04907-1605-4ff5-b632-23b1a200f26e,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
fa8a0a2f-f96d-4bc3-98f1-91a5c53072c1,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
555a2aaf-115e-48b8-99ee-5f4f4dccb260,0092 L5 ET CTX Glut_3,C57BL6J-638850.31,Glut,Isocortex,0367 L5 ET CTX Glut_3,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
7a3348c0-2470-4e18-a89d-10a919f77b88,0090 L5 ET CTX Glut_1,C57BL6J-638850.31,Glut,Isocortex,0352 L5 ET CTX Glut_1,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
948184cd-9627-43e5-a3e9-a57fcede1314,0091 L5 ET CTX Glut_2,C57BL6J-638850.31,Glut,Isocortex,0359 L5 ET CTX Glut_2,01 IT-ET Glut,VISpm,022 L5 ET CTX Glut,VISpm5
